,song_title,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,target
101,Baby,Donnie & Joe Emerson,high,medium,low,low,low,medium,low,negative,Yes
102,More Bounce To The Ounce,Zapp,low,high,high,low,medium,high,low,verypositive,Yes
103,Outlaw,War,low,high,high,medium,low,high,low,verypositive,Yes
104,Walking Into Sunshine,Central Line,low,high,medium,low,low,high,low,verypositive,Yes
105,Pyramids,Frank Ocean,low,medium,high,low,high,high,low,verynegative,Yes
106,Lazuli,Beach House,low,medium,high,high,low,high,low,positive,Yes
107,Oblivion,Grimes,low,high,medium,high,low,high,low,negative,Yes
108,Obedear,Purity Ring,low,medium,high,low,low,high,low,verynegative,Yes
109,Flutes,Hot Chip,low,high,high,low,low,high,low,negative,Yes
110,Club Rez,Girl Unit,low,medium,high,high,low,high,low,verynegative,Yes
111,Cry Like A Ghost,Passion Pit,low,medium,medium,low,medium,high,low,negative,Yes
112,Chained,The xx,medium,high,medium,high,medium,medium,low,verynegative,Yes
113,Disparate Youth,Santigold,low,medium,high,high,low,high,low,positive,Yes
114,Cheap Beer,FIDLAR,low,low,high,low,medium,high,low,verynegative,Yes
115,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,low,high,medium,low,medium,high,medium,negative,Yes
116,Origins,Tennis,low,medium,high,low,low,high,low,verypositive,Yes
117,Affection,Crystal Castles,low,medium,high,low,low,high,low,positive,Yes
118,Comeback Kid,Sleigh Bells,low,medium,high,medium,low,high,low,positive,Yes
119,Losing You,Solange,low,high,high,low,low,high,low,negative,Yes
120,Grown Up,Danny Brown,low,medium,high,low,low,high,low,positive,Yes
121,"It's Not My Fault, I'm Happy",Passion Pit,low,medium,high,low,low,high,low,negative,Yes
122,How Deep Is Your Love?,The Rapture,low,medium,high,low,low,high,low,verynegative,Yes
123,Are you... Can you... Were you? (Felt),Shabazz Palaces,low,medium,medium,low,low,high,low,verynegative,Yes
124,Second Song,TV On The Radio,low,medium,high,medium,low,high,low,negative,Yes
125,Mornin',Star Slinger,medium,high,high,low,low,high,medium,positive,Yes
126,Before,Washed Out,low,medium,high,high,low,high,low,verynegative,Yes
127,Midnight City,M83,low,medium,medium,low,low,medium,low,negative,Yes
128,Lonely Boy,The Black Keys,low,medium,high,low,low,high,low,positive,Yes
129,Caffeinated Consciousness,TV On The Radio,low,medium,high,high,low,high,low,positive,Yes
130,Wild Window,Fool's Gold,low,medium,high,low,medium,high,low,positive,Yes
131,Polish Girl,Neon Indian,low,medium,high,low,low,high,low,negative,Yes
132,Calgary,Bon Iver,high,medium,medium,low,medium,medium,low,verynegative,Yes
133,Civilization,Justice,low,medium,medium,low,low,high,low,negative,Yes
134,Headlines,Drake,medium,high,medium,low,low,high,low,negative,Yes
135,Michael Jackson,Das Racist,low,medium,high,low,low,high,medium,verypositive,Yes
136,Need You Now,Cut Copy,low,medium,high,medium,low,high,low,negative,Yes
137,Abducted,Cults,low,medium,high,low,low,high,low,negative,Yes
138,Gucci Gucci,Kreayshawn,low,high,high,low,high,high,low,verypositive,Yes
139,Eyes Be Closed,Washed Out,low,low,high,medium,medium,high,low,verynegative,Yes
140,Echoes,Washed Out,low,medium,high,high,low,high,low,positive,Yes
141,The Daily Mail,Radiohead,medium,medium,medium,low,low,high,low,verynegative,Yes
142,Civilization,Justice,low,medium,high,low,low,high,low,verynegative,Yes
143,Punch Drunk Love,Teams vs. Star Slinger,low,medium,high,low,medium,high,low,positive,Yes
144,Principles,Benoit & Sergio,low,high,medium,low,low,high,low,negative,Yes
145,Slow Peels,Com Truise,low,medium,high,medium,low,high,low,negative,Yes
146,Dead Wrong,Hanni El Khatib,low,high,high,low,low,high,low,positive,Yes
147,Do It Roger,Zapp,medium,high,high,low,low,high,low,positive,Yes
148,Pharaohs (feat. Roses Gabor),SBTRKT,low,high,medium,high,low,high,low,positive,Yes
149,No Fun,The Stooges,low,medium,high,low,low,high,low,positive,Yes
150,Computer Love,Zapp,high,high,high,low,low,high,low,positive,Yes
151,Dutchie Courage,Star Slinger,low,medium,high,low,low,high,low,verypositive,Yes
152,Osaka Loop Line,Discovery,low,high,medium,low,low,high,medium,positive,Yes
153,White Horse,Laid Back,low,high,medium,high,low,high,low,verypositive,Yes
154,Abataka - Original Mix,Ida Engberg,medium,high,high,high,low,high,low,verypositive,Yes
155,Danger! High Voltage (Soulchild Radio Mix),Electric Six,low,medium,high,low,low,high,low,positive,Yes
156,Say Please,Teams vs. Star Slinger,low,high,high,low,low,high,low,verypositive,Yes
157,You Don't Love Me (No No No),Dawn Penn,low,high,medium,low,low,high,low,verypositive,Yes
158,The Yes Strut,Teams vs. Star Slinger,low,high,high,high,low,high,low,positive,Yes
159,86 Carrot Gold,Teams vs. Star Slinger,low,medium,high,low,medium,high,medium,verypositive,Yes
160,Close to Me,Teams vs. Star Slinger,high,high,high,low,low,high,low,verypositive,Yes
161,How Do You See Me Now,Zdar,low,high,high,low,low,high,low,positive,Yes
162,See Me Now,Cassius,low,high,high,low,low,high,low,verypositive,Yes
163,Every Freakin' - DJ Ayres remix,DJ Eleven,low,high,high,low,low,high,low,positive,Yes
164,Dance Our Way,DJ Eleven,low,high,medium,low,low,high,low,verypositive,Yes
165,Flashing Lights,DJ Ayres,low,high,high,low,low,high,low,positive,Yes
166,The Daily Mail,Radiohead,medium,medium,medium,low,low,high,low,verynegative,Yes
167,Bizness,tUnE-yArDs,low,high,high,low,low,high,low,positive,Yes
168,Long Heels Red Bottoms,Trina,low,high,medium,low,low,high,low,positive,Yes
169,I Wanna Be Your Dog,The Stooges,low,medium,high,low,medium,high,low,verynegative,Yes
170,Jealousy,Martin Solveig,low,high,high,low,low,high,low,verypositive,Yes
171,Embody,Sebastian,low,low,high,low,medium,high,low,positive,Yes
