ID,Age,Education,Marital_Status,Income,AcceptedCmp1,Complain,Response
1,Old,Graduation,Single,Very high,No,No,Yes
2,Old,Graduation,Single,High,No,No,No
3,Middle,Graduation,Together,Very high,No,No,No
4,Middle,Graduation,Together,High,No,No,No
5,Middle,PhD,Married,Very high,No,No,No
6,Middle,Master,Together,Very high,No,No,No
7,Young,Graduation,Divorced,Very high,No,No,No
8,Middle,PhD,Married,High,No,No,No
9,Old,PhD,Together,High,No,No,Yes
10,Middle,PhD,Together,Medium,No,No,No
11,Middle,Graduation,Married,Low,No,No,No
12,Old,Basic,Married,Medium,No,No,No
13,Old,Graduation,Divorced,Very high,No,No,No
14,Young,Master,Divorced,Very high,No,No,No
15,Old,Graduation,Married,Medium,No,No,No
16,Middle,PhD,Single,Very high,Yes,No,Yes
17,Old,Graduation,Married,High,No,No,No
18,Old,Graduation,Together,High,No,No,No
19,Young,Master,Married,Very high,Yes,No,No
20,Middle,2n Cycle,Single,High,No,No,No
21,Middle,Graduation,Married,High,No,No,No
22,Old,Graduation,Married,Low,No,No,No
23,Old,PhD,Married,Very high,No,No,No
24,Old,PhD,Married,Very high,No,No,No
25,Middle,Graduation,Together,High,No,No,No
26,Middle,Graduation,Single,Medium,No,No,No
27,Young,Graduation,Married,Very high,No,No,No
28,Young,Graduation,Single,Low,No,No,No
29,Old,Graduation,Married,High,No,No,No
30,Young,PhD,Married,Very high,No,No,No
31,Old,Master,Divorced,Medium,No,No,No
32,Middle,Master,Together,High,No,No,No
33,Old,Graduation,Together,High,No,No,No
34,Old,PhD,Divorced,High,No,No,Yes
35,Old,Master,Married,Very high,No,No,No
36,Middle,Master,Single,High,No,No,No
37,Middle,PhD,Married,Very high,No,No,No
38,Middle,2n Cycle,Married,Medium,No,No,No
39,Old,Graduation,Widow,High,No,No,No
40,Middle,PhD,Divorced,High,No,No,Yes
41,Young,Graduation,Married,Very high,No,No,No
42,Old,Master,Married,Medium,No,No,No
43,Old,Graduation,Together,Medium,No,No,No
44,Middle,PhD,Single,Low,No,No,No
45,Middle,Master,Married,Medium,No,No,No
46,Young,Graduation,Single,Very high,No,No,No
47,Middle,2n Cycle,Married,Medium,No,No,Yes
48,Old,Graduation,Together,High,No,No,No
49,Old,Graduation,Single,Low,No,No,No
50,Old,PhD,Married,Very high,No,No,No
51,Old,Graduation,Widow,Very high,No,No,No
52,Middle,Master,Married,Very high,No,No,No
53,Middle,Graduation,Single,High,No,No,No
54,Middle,Graduation,Divorced,Very high,Yes,No,Yes
55,Old,Graduation,Married,Very high,No,No,No
56,Middle,Master,Together,Very high,No,No,Yes
57,Young,Graduation,Divorced,Very high,No,No,Yes
58,Middle,Graduation,Single,High,No,No,No
59,Middle,Graduation,Single,Low,No,No,No
60,Middle,PhD,Married,Very high,No,No,No
61,Middle,Master,Single,Very high,No,No,Yes
62,Old,Graduation,Together,Very high,No,No,No
63,Old,Graduation,Single,Very high,No,No,No
64,Old,PhD,Widow,Very high,No,No,No
65,Middle,Graduation,Together,Very high,No,No,No
66,Middle,Graduation,Married,High,No,No,Yes
67,Middle,Graduation,Together,High,No,No,No
68,Old,2n Cycle,Single,Very high,Yes,No,Yes
69,Middle,Graduation,Together,Very high,No,No,No
70,Old,Graduation,Together,Very high,No,No,No
71,Middle,Master,Married,Very high,No,No,No
72,Old,2n Cycle,Married,Low,No,No,No
73,Middle,Graduation,Married,Very high,No,No,No
74,Old,PhD,Married,Very high,No,No,No
75,Middle,Graduation,Married,High,No,No,No
76,Middle,Graduation,Divorced,High,No,No,No
77,Middle,Master,Married,Very high,No,No,Yes
78,Middle,Graduation,Single,Very high,No,No,Yes
79,Old,2n Cycle,Together,High,No,Yes,No
80,Young,Graduation,Together,Very high,No,No,Yes
81,Middle,Graduation,Single,High,No,No,No
82,Middle,Graduation,Married,High,No,No,No
83,Old,2n Cycle,Married,Medium,No,No,No
84,Young,Master,Together,High,No,No,No
85,Old,Graduation,Divorced,Very high,No,No,No
86,Middle,Graduation,Married,High,No,No,No
87,Old,Master,Married,High,No,No,No
88,Middle,Graduation,Single,Very high,Yes,No,Yes
89,Middle,Graduation,Married,Very high,No,No,No
90,Old,Graduation,Together,Very high,No,No,No
91,Old,PhD,Married,Low,No,No,No
92,Middle,Graduation,Single,Low,No,No,No
93,Middle,Master,Together,Low,No,No,No
94,Middle,Master,Single,High,No,No,No
95,Middle,PhD,Married,Medium,No,No,No
96,Old,Graduation,Married,High,No,No,No
97,Middle,Graduation,Widow,High,No,No,No
98,Old,Graduation,Divorced,Very high,No,No,No
99,Middle,2n Cycle,Married,Very high,Yes,No,No
100,Old,PhD,Married,Very high,No,No,No
101,Old,2n Cycle,Single,High,No,No,No
102,Middle,PhD,Single,High,No,No,No
103,Old,Graduation,Together,Very high,No,No,No
104,Old,PhD,Married,Very high,No,No,No
105,Middle,Graduation,Married,Very high,No,No,Yes
106,Old,Basic,Together,Medium,No,No,No
107,Middle,Graduation,Married,High,No,No,No
108,Middle,Graduation,Married,Very high,No,No,No
109,Old,Graduation,Single,High,No,No,No
110,Middle,Master,Married,Very high,No,No,No
111,Young,Graduation,Together,Very high,No,No,No
112,Old,PhD,Single,Very high,No,No,Yes
113,Young,Master,Together,Very high,No,No,No
114,Middle,Graduation,Single,Very high,No,No,Yes
115,Old,PhD,Married,High,No,No,No
116,Middle,Graduation,Single,Very high,No,No,No
117,Middle,Graduation,Married,Very high,Yes,No,No
118,Middle,2n Cycle,Married,High,No,No,No
119,Middle,2n Cycle,Together,High,No,No,No
120,Old,Graduation,Together,Medium,No,No,No
121,Middle,Master,Together,Very high,No,No,No
122,Young,Master,Single,High,No,No,Yes
123,Middle,Master,Married,Medium,No,No,No
124,Middle,Graduation,Divorced,High,No,No,No
125,Old,Graduation,Single,Very high,Yes,No,Yes
126,Middle,2n Cycle,Together,Very high,No,No,No
