Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/01/2021,18.5,10,13.6,,,0,,,15.7,162.82,,9.3,0.8,40.81,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/02/2021,19.5,7.9,13.5,8.5,,0,,,9.4,187.18,,7.2,0,56.12,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/03/2021,20.5,9.8,15.1,9.2,,0,,,18.4,156.96,,7.6,13.8,54.77,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/04/2021,20,13.8,16.8,,,0,,,9.4,214.75,,8.5,36.6,49.87,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/05/2021,19.7,14.5,17.3,,,0,,,9.4,202,,5.3,90.6,62.75,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/06/2021,17.7,16,16.4,,,0,,,13.9,166.43,,6.8,89.5,65.6,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/07/2021,16.4,12,14.4,,,0.4,,,20.5,87.38,,7.9,91.1,63.7,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/08/2021,12.1,10,11.1,,,0,,,22.3,112.83,,10.1,60.9,53.74,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/09/2021,12,9,10.4,6.7,,0,,,15.7,105.75,,10.1,25.9,41.85,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/10/2021,12.5,10,11.1,,,0,,,13,163.55,,10,30.1,40.99,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/11/2021,16,11,12.9,,,0,,,19.4,271.3,,10,26.1,37.79,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/12/2021,18.5,11,14.6,,,0,,,16.6,239.39,,10,20.1,34.81,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/13/2021,21,9.2,15.3,8.8,,0,,,15.7,132.5,,8.3,8.8,46.31,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/14/2021,21,10.9,16,,,0,,,12.1,152.91,,6.9,11.8,58.51,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/15/2021,19,13.5,16.3,,,0,,,13,126.64,,4.4,46.7,76.99,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/16/2021,20.2,16.5,18.1,,,0,,,8.5,164.04,,4.5,65.1,72.96,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/17/2021,17.5,13,15.6,,,2.64,,,23.2,175.92,,7.2,48.8,70.12,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/18/2021,19.5,10,15,,,0,,,13.8,168.47,,9.6,8.9,47.61,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/19/2021,21,10,15.4,,,0,,,15.7,109.17,,7,0,63.31,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/20/2021,20.5,12,16.4,,,0,,,10.3,106.13,,4.8,38.2,72.25,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/21/2021,18.1,16,16.9,,,0,,,10.3,261.73,,3.5,53.4,80.07,Partially cloudy
